"新指标无需填写，系统自动生成。
更新指标输入编号","必填：与选项保持一致
/
财务管理
仓储管理
产销协调
客服管理
商品企划
平台运营
营运管理
培训管理
旺礼卡管理",必填：与选项保持一致，选项在分类管理编得/新增，与业务域关联,必填：不可空值,"必填：与选项保持一致1级
2级
3级
4级","必填：与选项保持一致基础指标
存量指标
复合指标
派生指标
非量化指标","有值：指标编号
无值：不填写","必填：与选项保持一致无需计算
待计算
待验证
已上线
已下线",必填：不可空值,"有值：文本输入
无值：不填写","有值：与选项保持一致
无值：不填写或-等于-
考核指标
参考指标
一般指标
-","有值：数字
无值：不填写","有值：数字
无值：不填写","必填：与选项保持一致
见sheet2单位库","有值：文本
无值：不填写","有值：与选项保持一致
格式：XX部
无值：不填写","有值：工号
格式：000XXX23
无值：不填写","有值：姓名
无值：不填写","必填：与选项保持一致按时间进度
不按时间进度
不需计算","必填：与选项保持一致是
否",必填：文本输入,"有值：与选项保持一致
无值：不填写","有值：与选项保持一致
无值：不填写","有值：文本
无值：不填写","有值：与选项保持一致，多选用,隔开
时间维度
组织维度
产品维度
渠道维度
行政区划
岗位角色
无值：不填写","有值：文本
无值：不填写","有值：文本
无值：不填写","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写",,,
指标编号,*业务域,*指标分类,*指标名称,*指标等级,*指标类型,关联指标,*状态,*计算逻辑,指标口径,指标标签,指标长度,指标精度（小数位数）,*计量单位,指标价值,负责部门,负责人工号,负责人,*同环比计算口径,*是否需分组计算,*时间维度统计口径,是否业绩过程指标,是否管理过程指标,备注,关联维度,库,表,指标本值,本值预警,环比,环比预警,同比,同比预警,环比差值,环比差值预警,同比差值,同比差值预警,更新频率,指标提出人,是否宽表,
2,仓储管理,费用,实际仓库运费率,1级,基础指标,,已上线,仓库运费/财务收入（去税）,运费和财务收入均不含调拨订单,考核指标,,,%,监控仓库至客户端的实际运费率，持续优化后端实际运费率,,,,不按时间进度,否,同月度逻辑,,,业绩以下单时间统计,,,,,,,,,,,,,,,陈洪海,未在指定数据范围中找到对应值。,
3,仓储管理,销售,理论财务收入（去税）,1级,基础指标,,已上线,标准盘价*箱数/（1+税率）,去除调拨订单,一般指标,,,元,结合赠品、货返等不产生实际收入的品项计算财务收入，复盘运费率,,,,按时间进度,否,同月度逻辑,,,业务部门建议删除,,,,,,,,,,,,,,,杨静,未在指定数据范围中找到对应值。,
4,仓储管理,费用,理论仓库运费率,2级,基础指标,2,已上线,仓库运费/理论财务收入（去税）,运费和理论财务收入均不含调拨订单,参考指标,,,%,监控仓库至客户端的理论运费率，持续优化后端理论运费率,,,,不按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,杨静,未在指定数据范围中找到对应值。,
8,仓储管理,费用,实际工厂运费率,1级,基础指标,,已上线,集团分摊单箱运输成本*当月销售SKU箱数/财务收入（去税）,"1.剔除调拨单；2.剔除周边和文宣品；3.按业绩统计时间计算；4、正向逻辑：工厂运费单价*总箱数；
逆向逻辑：退货退款，工厂运费单价*售后sku数量/箱规*-1；仅退款置0",考核指标,,,%,监控工厂至仓库的实际运费率，持续优化前端运费率,,,,不按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,陈洪海,未在指定数据范围中找到对应值。,
14,仓储管理,服务,仓库平均发货时效,2级,基础指标,149,已上线,（订单发货时间-客户下单时间）的总和/当月发货订单总数,1、数据范围：当月发货维度订单；2、订单范围：去除未发货、已取消和交易关闭订单,参考指标,,,小时,监控客户下单至仓库发货时效，确保每笔订单在规定时效内出库,,,,不按时间进度,否,同月度逻辑,,,月度考核时，取下单时间在当月的订单,,,,,,,,,,,,,,,杨静,未在指定数据范围中找到对应值。,
19,仓储管理,服务,实际送货完美率,1级,基础指标,,已上线,完美合单数/当月已发货总合单数,"1、名词解释：完美合单数是指交付订单未延误且无异常；
2、数据范围：当月发货维度订单；剔除WMS已取消、未收货、自提、快递订单、调拨订单；售后状态为售后成功，且异常原因为物流原因的订单",考核指标,,,%,监控运输订单是否完美签收，持续优化和改善,,,,不按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,陈洪海,未在指定数据范围中找到对应值。,
20,仓储管理,服务,理论送货完美率,2级,基础指标,19,已上线,完美合单数/当月已发货总合单数,"1、名词解释：完美合单数是指交付订单未延误且无异常；
2、数据范围：当月发货维度订单；订单范围：剔除WMS已取消、未收货、自提、快递订单、调拨；只统计售后状态为售后成功，且异常原因为物流原因的订单；延误原因不为不可抗力、客户原因、其他的订单",参考指标,,,%,监控运输订单是否完美签收，持续优化和改善,,,,不按时间进度,否,同月度逻辑,,,月度考核时，取发货时间在当月的订单,,,,,,,,,,,,,,,杨静,未在指定数据范围中找到对应值。,
21,产销协调,服务,前端发货及时率,1级,基础指标,,已上线,交货单数量/采购单总数量,去除非食品：周边、文宣品、水神等,一般指标,,,%,监控工厂发货是否及时，针对未能及时发货订单跟进处理，减少工厂因素导致的缺货,,,,不按时间进度,否,不需计算,,,停用,,,,,,,,,,,,,,,翁丽佳,未在指定数据范围中找到对应值。,
22,产销协调,服务,供货达成率,1级,基础指标,236,已上线,实际到货箱数/货需提报箱数,去除非食品：周边、文宣品、水神等,一般指标,,,%,监控工厂是否按需求量供货，减少工厂生产差异对平台售卖影响,,,,不按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,翁丽佳,未在指定数据范围中找到对应值。,
